scale,random_samples,window_feasible_pct,rate_feasible_pct,transmission_feasible_pct,positive_utility_pct,target_samples
small,2000,48.35,0.15,0.15,0.15,2000
medium,2000,78.10000000000001,0.95,0.95,0.95,2000
large,2000,96.95,2.1,2.1,1.7999999999999998,2000
