eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,2,0,0,0,0,0,233.48797306143143,0.0,0.0004082999948877841,rs,0,medium,1,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
2,0.0,0,0.0,False,False,3,0,0,0,0,0,187.117307914403,0.0,0.0006650999930570833,rs,0,medium,2,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
3,0.0,0,0.0,False,False,2,0,0,0,0,4,226.66634196788328,0.0,0.000901699997484684,rs,0,medium,3,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
4,0.0,0,0.0,False,False,0,0,0,0,0,1,229.91458075521547,0.0,0.0011309999972581863,rs,0,medium,4,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
5,0.0,0,0.0,False,False,0,0,0,0,0,0,242.78731208908033,0.0,0.00136009999550879,rs,0,medium,5,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
6,0.0,0,0.0,False,False,1,0,0,0,0,1,256.9375247700236,0.0,0.0016982999950414523,rs,0,medium,6,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
7,0.0,0,0.0,False,False,2,0,0,0,0,1,226.0671543519981,0.0,0.0019596999991335906,rs,0,medium,7,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
8,0.0,0,0.0,False,False,1,0,0,0,0,1,263.754595788293,0.0,0.0021964999978081323,rs,0,medium,8,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
9,0.0,0,0.0,False,False,0,0,0,0,0,1,236.85736425347932,0.0,0.002470999999786727,rs,0,medium,9,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
10,0.0,0,0.0,False,False,0,0,0,0,0,0,250.59251592451324,0.0,0.0027009999976144172,rs,0,medium,10,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
11,0.0,0,0.0,False,False,3,0,0,1,0,1,138.4604604845721,0.0,0.0029193999944254756,rs,0,medium,11,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
12,0.0,0,0.0,False,False,1,0,0,1,0,0,251.61358356084529,0.0,0.00313619999360526,rs,0,medium,12,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
13,0.0,0,0.0,False,False,5,0,0,1,0,0,237.50365278559067,0.0,0.0033526999977766536,rs,0,medium,13,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
14,0.0,0,0.0,False,False,1,0,0,0,0,1,207.25310211972038,0.0,0.0035688999996636994,rs,0,medium,14,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
15,0.0,0,0.0,False,False,1,0,0,0,0,1,210.70490546285146,0.0,0.0037834999966435134,rs,0,medium,15,0.0,0.0,False,0,0,distance,30.0,20.0,pilot,2000
