method_id,method,scale,dimension,evaluation,n_runs,success_rate,mean_best_so_far,std_best_so_far,q25_best_so_far,q75_best_so_far,sem_best_so_far
ft_hsbo,FT-HSBO,medium,40-D,1,20,1.0,29.97575199172824,14.264312787515703,23.517980501954263,36.52972402156115,3.189597304520462
ft_hsbo,FT-HSBO,medium,40-D,2,20,1.0,29.97575199172824,14.264312787515703,23.517980501954263,36.52972402156115,3.189597304520462
ft_hsbo,FT-HSBO,medium,40-D,3,20,1.0,29.97575199172824,14.264312787515703,23.517980501954263,36.52972402156115,3.189597304520462
ft_hsbo,FT-HSBO,medium,40-D,4,20,1.0,30.144697274612394,13.97219180565416,23.517980501954263,36.52972402156115,3.1242770672108233
ft_hsbo,FT-HSBO,medium,40-D,5,20,1.0,30.144697274612394,13.97219180565416,23.517980501954263,36.52972402156115,3.1242770672108233
ft_hsbo,FT-HSBO,medium,40-D,6,20,1.0,30.144697274612394,13.97219180565416,23.517980501954263,36.52972402156115,3.1242770672108233
ft_hsbo,FT-HSBO,medium,40-D,7,20,1.0,32.20003116398907,12.576336513422982,23.928674754984183,37.70493494275746,2.8121543351926483
ft_hsbo,FT-HSBO,medium,40-D,8,20,1.0,32.20003116398907,12.576336513422982,23.928674754984183,37.70493494275746,2.8121543351926483
ft_hsbo,FT-HSBO,medium,40-D,9,20,1.0,32.20003116398907,12.576336513422982,23.928674754984183,37.70493494275746,2.8121543351926483
ft_hsbo,FT-HSBO,medium,40-D,10,20,1.0,37.759520549715035,13.605165705554656,30.699628210433296,42.39933209820029,3.04220753627691
ft_hsbo,FT-HSBO,medium,40-D,11,20,1.0,37.759520549715035,13.605165705554656,30.699628210433296,42.39933209820029,3.04220753627691
ft_hsbo,FT-HSBO,medium,40-D,12,20,1.0,37.759520549715035,13.605165705554656,30.699628210433296,42.39933209820029,3.04220753627691
ft_hsbo,FT-HSBO,medium,40-D,13,20,1.0,38.34055569274273,13.569621323546945,30.699628210433296,42.83830698045722,3.0342595708381634
ft_hsbo,FT-HSBO,medium,40-D,14,20,1.0,38.34055569274273,13.569621323546945,30.699628210433296,42.83830698045722,3.0342595708381634
ft_hsbo,FT-HSBO,medium,40-D,15,20,1.0,38.34055569274273,13.569621323546945,30.699628210433296,42.83830698045722,3.0342595708381634
ft_hsbo,FT-HSBO,medium,40-D,16,20,1.0,38.35260336338444,13.57313252009775,30.699628210433296,42.83830698045722,3.03504469825516
ft_hsbo,FT-HSBO,medium,40-D,17,20,1.0,38.35260336338444,13.57313252009775,30.699628210433296,42.83830698045722,3.03504469825516
ft_hsbo,FT-HSBO,medium,40-D,18,20,1.0,38.35260336338444,13.57313252009775,30.699628210433296,42.83830698045722,3.03504469825516
ft_hsbo,FT-HSBO,medium,40-D,19,20,1.0,38.35260336338444,13.57313252009775,30.699628210433296,42.83830698045722,3.03504469825516
ft_hsbo,FT-HSBO,medium,40-D,20,20,1.0,38.35260336338444,13.57313252009775,30.699628210433296,42.83830698045722,3.03504469825516
ft_hsbo,FT-HSBO,medium,40-D,21,20,1.0,38.35260336338444,13.57313252009775,30.699628210433296,42.83830698045722,3.03504469825516
ft_hsbo,FT-HSBO,medium,40-D,22,20,1.0,38.35260336338444,13.57313252009775,30.699628210433296,42.83830698045722,3.03504469825516
ft_hsbo,FT-HSBO,medium,40-D,23,20,1.0,38.35260336338444,13.57313252009775,30.699628210433296,42.83830698045722,3.03504469825516
ft_hsbo,FT-HSBO,medium,40-D,24,20,1.0,38.35260336338444,13.57313252009775,30.699628210433296,42.83830698045722,3.03504469825516
ft_hsbo,FT-HSBO,medium,40-D,25,20,1.0,38.35260336338444,13.57313252009775,30.699628210433296,42.83830698045722,3.03504469825516
ft_hsbo,FT-HSBO,medium,40-D,26,20,1.0,38.35260336338444,13.57313252009775,30.699628210433296,42.83830698045722,3.03504469825516
ft_hsbo,FT-HSBO,medium,40-D,27,20,1.0,38.35260336338444,13.57313252009775,30.699628210433296,42.83830698045722,3.03504469825516
