experiment,scale,channel_model,method,budget,num_seeds,mean_utility,std_utility,median_utility,max_utility,success_rate,mean_first_feasible,median_first_feasible,feasible_eval_rate,mean_served_priority,std_served_priority,mean_served_ratio,std_served_ratio,mean_outage_ratio,mean_energy,window_width,rate_threshold_mbps
rate_high,medium,distance,de_rp,300,10,11.657270594661963,5.581003684309956,10.314007379800074,23.79838588248321,1.0,46.0,32.0,0.033666666666666664,15.77275656350451,5.840774160864922,0.065,0.024152294576982397,0.11481031746031746,191.54859688425455,30.0,15.0
rate_high,medium,distance,edf_rate_greedy,300,10,16.742536701471742,11.090356654560672,14.852464823394193,38.08148689778473,1.0,1.6,1.0,0.02666666666666667,19.076394418740644,11.173682956365331,0.08500000000000002,0.047434164902525694,0.22839193676693673,173.3857717268902,30.0,15.0
rate_high,medium,distance,ft_hsbo,300,10,39.06537602143699,12.468554558766593,36.83418767870155,67.2309635820097,1.0,1.0,1.0,0.043666666666666666,40.922050252424796,12.199351522408326,0.16499999999999998,0.047434164902525694,0.19908406408406404,145.66742309878043,30.0,15.0
rate_high,medium,distance,full_space_bo,300,10,1.8695023199627054,3.256715248347468,0.0,9.154790724863831,0.3,102.0,82.0,0.0016666666666666668,3.0438738884041596,5.09192494076573,0.015000000000000003,0.0241522945769824,0.06911111111111111,244.50092643081433,30.0,15.0
rate_high,medium,distance,max_rate_greedy,300,10,30.598806496287807,8.117081781772503,29.764022964428403,42.75925443463416,1.0,1.0,1.0,0.034666666666666665,32.680083954737185,8.49729429868454,0.13499999999999995,0.03374742788552765,0.23364359251859249,168.12774584493815,30.0,15.0
rate_low,medium,distance,de_rp,300,10,40.71637268271433,6.5017727882986405,39.942860044625704,53.84482000838668,1.0,1.0,1.0,0.48733333333333334,45.904733974622374,6.577164032757112,0.195,0.028382310609877344,0.0077029100529100525,178.83612919080434,30.0,8.0
rate_low,medium,distance,edf_rate_greedy,300,10,61.43579306522711,27.364247039927292,61.36540497170598,113.44870735246928,1.0,1.0,1.0,0.4076666666666667,64.54753639035778,26.8466365983567,0.29999999999999993,0.1269295517643985,0.023600853775853775,171.174332513068,30.0,8.0
rate_low,medium,distance,ft_hsbo,300,10,106.79016771356632,22.57146363120967,107.30590202315655,138.4482600887063,1.0,1.0,1.0,0.37933333333333336,109.04099181579932,22.362180197306888,0.525,0.10865337342004416,0.013003821178821177,125.08241022329867,30.0,8.0
rate_low,medium,distance,full_space_bo,300,10,23.35109609943801,4.748102537270554,24.11007790695763,32.243678037877686,1.0,16.5,15.5,0.26,25.858003201895947,4.880516722787211,0.11000000000000001,0.021081851067789193,0.011133333333333334,210.69071024579347,30.0,8.0
rate_low,medium,distance,max_rate_greedy,300,10,76.95138792066453,29.249626101166776,69.05478938299426,138.4482600887063,1.0,1.0,1.0,0.424,81.01869974925513,28.193724379088295,0.38,0.12736648783028534,0.022160317460317457,166.73118285905915,30.0,8.0
rate_medium,medium,distance,de_rp,300,10,31.423288345692452,5.708105234181637,31.37193355852311,44.99344322291105,1.0,1.0,1.0,0.27066666666666667,36.63967231909716,7.171334436597448,0.14999999999999997,0.023570226039551587,0.08163454785954785,161.63839734047187,30.0,12.0
rate_medium,medium,distance,edf_rate_greedy,300,10,38.94853816525057,22.543493801598025,36.580327906383395,84.24871376370612,1.0,1.2,1.0,0.15166666666666667,41.87653800997463,22.141102561409507,0.195,0.09846036991827953,0.17084387464387465,172.79998447240604,30.0,12.0
rate_medium,medium,distance,ft_hsbo,300,10,64.60872041982294,24.588788634131888,57.67243398217087,109.98370302775028,1.0,1.0,1.0,0.15466666666666667,66.18283795981696,24.34705402981732,0.30500000000000005,0.10394977419675117,0.14251102416102415,137.4117539994031,30.0,12.0
rate_medium,medium,distance,full_space_bo,300,10,10.906107945845807,1.8433030085157522,11.421583039809487,13.062546894765587,1.0,61.4,66.0,0.054,13.152368926890102,1.8010221578507468,0.05,7.314236392868128e-18,0.08818888888888889,204.6260981044295,30.0,12.0
rate_medium,medium,distance,max_rate_greedy,300,10,48.53383758198223,19.51803483303613,44.78119583722156,88.21113830157083,1.0,1.0,1.0,0.17733333333333334,51.19420271459065,19.672341180660386,0.23500000000000001,0.08514693182963201,0.17712074592074592,166.03651326084133,30.0,12.0
