experiment,scale,channel_model,method,budget,num_seeds,mean_utility,std_utility,median_utility,max_utility,success_rate,mean_first_feasible,median_first_feasible,feasible_eval_rate,mean_served_priority,std_served_priority,mean_served_ratio,std_served_ratio,mean_outage_ratio,mean_energy,window_width,rate_threshold_mbps
window_narrow,medium,distance,ft_hsbo,300,10,35.076177371408875,9.08001187740935,33.837899906694346,52.64107068083264,1.0,1.0,1.0,0.0376666666666666,37.74247318336593,9.153736320356062,0.15,0.0408248290463863,0.1378254421504421,166.6295811957056,15.0,15.0
window_medium,medium,distance,ft_hsbo,300,10,39.06537602143699,12.468554558766591,36.83418767870155,67.2309635820097,1.0,1.0,1.0,0.0436666666666666,40.9220502524248,12.199351522408326,0.1649999999999999,0.0474341649025256,0.199084064084064,145.66742309878043,30.0,15.0
window_wide,medium,distance,ft_hsbo,300,10,43.08107701996589,11.326750173964244,38.159709936314094,67.28275601508777,1.0,1.0,1.0,0.0513333333333333,45.00482907310821,10.91760586902749,0.195,0.0368932393686311,0.221375024050024,132.3752053142324,60.0,15.0
window_narrow,medium,distance,max_rate_greedy,300,10,32.6047104707101,8.993575339140923,29.79912594319457,49.89355405295334,1.0,1.0,1.0,0.0256666666666666,35.15395840958323,9.170009307724776,0.145,0.0437797517885456,0.166464602064602,174.92479388731354,15.0,15.0
window_medium,medium,distance,max_rate_greedy,300,10,30.598806496287807,8.117081781772503,29.764022964428403,42.75925443463416,1.0,1.0,1.0,0.0346666666666666,32.680083954737185,8.49729429868454,0.1349999999999999,0.0337474278855276,0.2336435925185924,168.12774584493815,30.0,15.0
window_wide,medium,distance,max_rate_greedy,300,10,31.527671758039485,14.667121070252932,27.925300992620794,65.21375446274526,1.0,1.0,1.0,0.0413333333333333,33.822258723335246,14.326517034170196,0.145,0.0550252467307305,0.2476959494209494,169.4586965295767,60.0,15.0
window_narrow,medium,distance,edf_rate_greedy,300,10,15.080563546063416,10.738165055849851,13.063910771737866,39.777126733893176,1.0,1.6,1.0,0.0216666666666666,17.499176735001075,10.679296862692729,0.08,0.0483045891539648,0.1670468688718689,181.86131889376625,15.0,15.0
window_medium,medium,distance,edf_rate_greedy,300,10,16.742536701471742,11.090356654560672,14.852464823394191,38.08148689778473,1.0,1.6,1.0,0.0266666666666666,19.076394418740644,11.173682956365331,0.085,0.0474341649025256,0.2283919367669367,173.3857717268902,30.0,15.0
window_wide,medium,distance,edf_rate_greedy,300,10,18.773897040397927,11.45948125993604,12.30127997651605,42.43509598780365,1.0,1.1,1.0,0.039,22.23221947153124,11.198637411583844,0.1,0.0408248290463863,0.25513811003811,165.83224311333146,60.0,15.0
window_narrow,medium,distance,de_rp,300,10,9.416252590236905,5.195014130093887,8.460312071455961,21.5724813246078,1.0,90.0,77.5,0.0183333333333333,13.549580440163826,5.84727192823792,0.055,0.0158113883008418,0.0958944444444444,193.33278499269215,15.0,15.0
window_medium,medium,distance,de_rp,300,10,11.657270594661965,5.581003684309956,10.314007379800074,23.79838588248321,1.0,46.0,32.0,0.0336666666666666,15.77275656350451,5.840774160864922,0.065,0.0241522945769823,0.1148103174603174,191.54859688425452,30.0,15.0
window_wide,medium,distance,de_rp,300,10,13.89116205236665,5.159930160944144,11.46833047537778,26.50886594550733,1.0,46.5,63.5,0.0536666666666666,16.981729346612372,6.233235499880213,0.065,0.0241522945769824,0.1052497761497761,189.05672942457232,60.0,15.0
window_narrow,medium,distance,full_space_bo,300,10,1.4641964904731437,3.2029703112151893,0.0,9.134310169875508,0.2,74.5,74.5,0.0006666666666666,2.36231995104143,4.986023203162434,0.01,0.0210818510677891,0.0541944444444444,245.1022348601232,15.0,15.0
window_medium,medium,distance,full_space_bo,300,10,1.8695023199627052,3.256715248347468,0.0,9.154790724863831,0.3,102.0,82.0,0.0016666666666666,3.04387388840416,5.09192494076573,0.015,0.0241522945769824,0.0691111111111111,244.50092643081436,30.0,15.0
window_wide,medium,distance,full_space_bo,300,10,4.587317235261802,4.678951503888612,3.358243510707399,10.809783746433595,0.6,137.66666666666666,74.5,0.0046666666666666,6.124689053451346,5.907797131382452,0.03,0.0258198889747161,0.097010582010582,232.0762766120385,60.0,15.0
