method,mean_utility,std_utility,median_utility,max_utility,success_rate,mean_first_feasible,median_first_feasible,feasible_eval_rate,mean_served_ratio,mean_outage_ratio,mean_energy,budget,num_seeds,window_width,rate_threshold_mbps
FT-HSBO,39.06537602143699,12.468554558766591,36.83418767870155,67.2309635820097,1.0,1.0,1.0,0.0436666666666666,0.1649999999999999,0.199084064084064,145.66742309878043,300,10,30.0,15.0
w/o hierarchy,18.53391604462605,8.741690146133541,20.68162108597523,32.71113079862574,1.0,30.8,18.0,0.228,0.11,0.1996677063677064,196.05948780658647,300,10,30.0,15.0
Repair BO,14.111826832219917,5.330664643020213,13.963195626162303,21.59203481287604,1.0,51.9,44.5,0.139,0.075,0.1869460437710437,203.05795552341164,300,10,30.0,15.0
w/o pre-search,9.248345217301054,3.052506914692608,9.138115550327957,13.22949312130748,1.0,9.2,8.0,0.0076666666666666,0.05,0.1298753968253968,168.12774584493815,300,10,30.0,15.0
Full BO,3.901549222598693,4.344428733160532,2.3617806666378995,10.17689574663936,0.5,119.4,107.0,0.0023333333333333,0.025,0.0719420634920634,231.3564155516676,300,10,30.0,15.0
